link;title;price;offer;image_url;availability;rating;reviews
https://www.amazon.com.mx/Jab%C3%B3n-L%C3%ADquido-Corporal-Force-370ml/dp/B088MM2DSS/ref=sr_1_11?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=Ego&qid=1610182576&refinements=p_89%3Aego&rnid=11790855011&s=beauty&sr=1-11;EGO Jabón Líquido Corporal Force 370ml;$37.50;null;https://images-na.ssl-images-amazon.com/images/I/51G47ZoAhRL._AC_SX425_.jpg;Disponible.;4.5 de 5 estrellas;"[""Estaba acostumbrado a otras marcas y decidí probar pero no me gusto, no hace la suficiente espuma por lo que se debe ocupar más y se acaba rápido, el aroma no es muy bueno."",""Buen producto"",""El producto se abrió y se derramó como se muestra en la imagen a diferencia de la crema que muestra venir bien sellada."",""Bueno (aunque en lo particular el aroma no me agradó al 100%) entre el rojo, negro y verde, me quedo con el segundo."",""Vale la pena"",""BUEN AROMA"",""Me encanta""]"
https://www.amazon.com.mx/Desodorante-Hombre-Stick-Barra-gramos/dp/B089P8KM3C/ref=sr_1_12?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=Ego&qid=1610182576&refinements=p_89%3Aego&rnid=11790855011&s=beauty&sr=1-12;EGO Desodorante Para Hombre Stick En Barra Alfa, 45 gramos;$29.90;null;https://images-na.ssl-images-amazon.com/images/I/51By5J0ZvIL._AC_SX425_.jpg;Disponible.;4.4 de 5 estrellas;"[""Huelen bien, me llegaron en tiempo y forma...y pues en la calidad y precio excelente, los volveré a comprar"",""Me enviaron otro desodorante que no pedi... ademas venia abierto. No lo devolvere ya que lo tire a la basura, por el precio no tengo problema. Ademas de que lo entregaron tarde lo enviaron mal. Como si estuviera usado."",""Buen precio"",""Huele rico y es buen antitranspirante, me controla bien la transpiración"",""Pensé que tendría un mejor aroma es algo suave y a mi papá no le agrado eso pero de lo demás todo cool"",""Excelente producto y entrega muy rápida""]"
https://www.amazon.com.mx/Ego-Gel-Power-Dark-Tarro/dp/B00CIEO9IA/ref=sr_1_13?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=Ego&qid=1610182576&refinements=p_89%3Aego&rnid=11790855011&s=beauty&sr=1-13;EGO FOR MEN Gel Power 250ml;$19.50;null;https://images-na.ssl-images-amazon.com/images/I/61fl2HosveL._AC_SX425_.jpg;Disponible.;4.7 de 5 estrellas;"[""I liked it, it simply worked as promised, what else is there to say, it functions as promised...."",""""]"
https://www.amazon.com.mx/Ego-Espuma-Afeitar-Force-Skin/dp/B07G5RVQNJ/ref=sr_1_14?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=Ego&qid=1610182576&refinements=p_89%3Aego&rnid=11790855011&s=beauty&sr=1-14;EGO Crema para Afeitar Force 200ml;$48.50;null;https://images-na.ssl-images-amazon.com/images/I/514lLHW1GuL._AC_SX425_.jpg;Disponible.;4.1 de 5 estrellas;[]
https://www.amazon.com.mx/Crema-para-Afeitar-Fresh-200ml/dp/B088MM272H/ref=sr_1_15?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=Ego&qid=1610182576&refinements=p_89%3Aego&rnid=11790855011&s=beauty&sr=1-15;EGO Crema para Afeitar Fresh 200ml;$48.50;null;https://images-na.ssl-images-amazon.com/images/I/512XdRdpT1L._AC_SX425_.jpg;Disponible.;4.6 de 5 estrellas;"[""Buena relación precio y producto."",""Es buen producto, dura mucho y el aroma esta bien"",""Es mejor el gel, pero cumple con su función."",""Es una crema regular pero a un costo muy pequeño"",""Buen producto que ayuda bastante a la depilación de cualquier zona"",""Muy buena . Compre en oferta"",""Muy buena y más económica que otras marcas  sin irritación.""]"
https://www.amazon.com.mx/Ego-Cera-Modeladora-Dry-25/dp/B06W5N5517/ref=sr_1_16?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=Ego&qid=1610182576&refinements=p_89%3Aego&rnid=11790855011&s=beauty&sr=1-16;Ego Ego Cera Modeladora Ego Dry, 25 G, Pack of 1;$17.88;null;https://images-na.ssl-images-amazon.com/images/I/51SNNG9cJTL._AC_SX425_.jpg;Disponible.;4.8 de 5 estrellas;"[""La verdad, solía comprarla en mi tiendita de la esquina pero por alguna razón la dejaron de vender y metieron la misma marca pero otro color y tipo.<br><br>Me encantó encontrarla aquí en Amazon y más barata jaja""]"
https://www.amazon.com.mx/EGO-Ego-control-caspa-230ml/dp/B08LCJ13M7/ref=sr_1_17?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=Ego&qid=1610182576&refinements=p_89%3Aego&rnid=11790855011&s=beauty&sr=1-17;EGO Ego gel control caspa 230ml;$19.50;null;https://images-na.ssl-images-amazon.com/images/I/51B%2B%2BvYfjAL._AC_SY355_.jpg;Disponible.;4.7 de 5 estrellas;[]
https://www.amazon.com.mx/EGO-Ego-control-caspa-450ml/dp/B08LCJDCKR/ref=sr_1_18?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=Ego&qid=1610182576&refinements=p_89%3Aego&rnid=11790855011&s=beauty&sr=1-18;EGO Ego gel control caspa 450ml;$35.90;null;https://images-na.ssl-images-amazon.com/images/I/51qvBTc981L._AC_SY355_.jpg;Disponible.;5.0 de 5 estrellas;[]
https://www.amazon.com.mx/Ego-Men-Aerosol-Fresh-Pack/dp/B07R8YNGYH/ref=sr_1_19?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=Ego&qid=1610182576&refinements=p_89%3Aego&rnid=11790855011&s=beauty&sr=1-19;EGO Desodorante para Hombre Aerosol Fresh 150ml;$35.90;null;https://images-na.ssl-images-amazon.com/images/I/51mE2FLWpzL._AC_SX425_.jpg;Disponible.;5.0 de 5 estrellas;[]
https://www.amazon.com.mx/EGO-shampoo-control-caspa-400ml/dp/B08LCKZ7CY/ref=sr_1_20?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=Ego&qid=1610182576&refinements=p_89%3Aego&rnid=11790855011&s=beauty&sr=1-20;EGO Ego shampoo control caspa 400ml;$55.00;null;https://images-na.ssl-images-amazon.com/images/I/518WP%2BqxRmL._AC_SY355_.jpg;Disponible.;5.0 de 5 estrellas;[]
https://www.amazon.com.mx/desodorante-hombre-barra-ULTRA-FRESH/dp/B08FNHM4RW/ref=sr_1_21?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=Ego&qid=1610182576&refinements=p_89%3Aego&rnid=11790855011&s=beauty&sr=1-21;EGO desodorante para hombre en barra ULTRA FRESH 45g;$22.90;null;https://images-na.ssl-images-amazon.com/images/I/51DFS5irvcL._AC_SX425_.jpg;Disponible.;4.4 de 5 estrellas;"[""pues ni para el arranque en mi casi pues no me sirvio""]"
https://www.amazon.com.mx/EGO-desodorante-para-hombre-SPORT/dp/B08FNV2X18/ref=sr_1_22?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=Ego&qid=1610182576&refinements=p_89%3Aego&rnid=11790855011&s=beauty&sr=1-22;EGO desodorante para hombre en GEL SPORT 80g;$51.90;null;https://images-na.ssl-images-amazon.com/images/I/51sHBH1m7jL._AC_SX425_.jpg;Disponible.;5.0 de 5 estrellas;[]
https://www.amazon.com.mx/EGO-shampoo-control-caspa-200ml/dp/B08LCGFCL8/ref=sr_1_23?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=Ego&qid=1610182576&refinements=p_89%3Aego&rnid=11790855011&s=beauty&sr=1-23;EGO Ego shampoo control caspa 200ml;$33.80;null;https://images-na.ssl-images-amazon.com/images/I/51UwvAj1VEL._AC_SY355_.jpg;Disponible.;5.0 de 5 estrellas;[]
https://www.amazon.com.mx/Ego-Para-Afeitar-Force-Pack/dp/B07RCL7VF5/ref=sr_1_24?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=Ego&qid=1610182576&refinements=p_89%3Aego&rnid=11790855011&s=beauty&sr=1-24;Ego Gel Para Afeitar Ego Force (200 Ml), Pack of 1;$70.96;null;https://images-na.ssl-images-amazon.com/images/I/7122lXzJUxL._AC_SY879_.jpg;Disponible.;0;[]
https://www.amazon.com.mx/Ego-Gel-Diez-Tarro-200/dp/B00T5QZWPS/ref=sr_1_25?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=Ego&qid=1610182576&refinements=p_89%3Aego&rnid=11790855011&s=beauty&sr=1-25;Ego Gel para hombre, 200 ml;null;null;https://images-na.ssl-images-amazon.com/images/I/515Z7lxqlzL._AC_SX425_.jpg;Not Available;0;[]
https://www.amazon.com.mx/Ego-Boost-Pod-Sistema-calentado/dp/B00986T8IW/ref=sr_1_26?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=Ego&qid=1610182576&refinements=p_89%3Aego&rnid=11790855011&s=beauty&sr=1-26;Ego Boost Pod - Sistema de rodillo calentado;$1,651.51;null;https://images-na.ssl-images-amazon.com/images/I/81kFiRWsPmL._AC_SX425_.jpg;Disponible.;0;[]
